occurrence_id,word,source_type,cue_index,paragraph_clip_index,sentence_clip_index,word_index_in_sentence,sentence_segment_start_main,sentence_segment_end_main,paragraph_segment_start_main,paragraph_segment_end_main,main_video_start,main_video_end,relative_sentence_clip_start,relative_sentence_clip_end,relative_paragraph_clip_start,relative_paragraph_clip_end,sentence_clip_src,paragraph_clip_src,timing_status,sentence_text,paragraph_text,notes
10,in,paragraph,0,0,1,6,16.6667,28.3333,16.6667,40,20.5556,21.2037,3.8889,4.537,3.8889,4.537,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
11,addition,paragraph,0,0,1,7,16.6667,28.3333,16.6667,40,21.2037,21.8519,4.537,5.1852,4.537,5.1852,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
12,to,paragraph,0,0,1,8,16.6667,28.3333,16.6667,40,21.8519,22.5,5.1852,5.8333,5.1852,5.8333,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
13,in,paragraph,0,0,1,9,16.6667,28.3333,16.6667,40,22.5,23.1482,5.8333,6.4815,5.8333,6.4815,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
14,conjunction,paragraph,0,0,1,10,16.6667,28.3333,16.6667,40,23.1482,23.7963,6.4815,7.1296,6.4815,7.1296,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
15,with,paragraph,0,0,1,11,16.6667,28.3333,16.6667,40,23.7963,24.4445,7.1296,7.7778,7.1296,7.7778,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
16,the,paragraph,0,0,1,12,16.6667,28.3333,16.6667,40,24.4445,25.0926,7.7778,8.4259,7.7778,8.4259,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
17,access,paragraph,0,0,1,13,16.6667,28.3333,16.6667,40,25.0926,25.7408,8.4259,9.0741,8.4259,9.0741,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
18,suggestions,paragraph,0,0,1,14,16.6667,28.3333,16.6667,40,25.7408,26.3889,9.0741,9.7222,9.0741,9.7222,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
19,for,paragraph,0,0,1,15,16.6667,28.3333,16.6667,40,26.3889,27.0371,9.7222,10.3704,9.7222,10.3704,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
20,public,paragraph,0,0,1,16,16.6667,28.3333,16.6667,40,27.0371,27.6852,10.3704,11.0185,10.3704,11.0185,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
21,events,paragraph,0,0,1,17,16.6667,28.3333,16.6667,40,27.6852,28.3333,11.0185,11.6666,11.0185,11.6666,segments/sentences/sent_1.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events.,"These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
22,this,paragraph,0,0,2,0,28.3333,40,16.6667,40,28.3333,28.7097,0,0.3764,11.6666,12.043,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
23,work,paragraph,0,0,2,1,28.3333,40,16.6667,40,28.7097,29.086,0.3764,0.7527,12.043,12.4193,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
24,is,paragraph,0,0,2,2,28.3333,40,16.6667,40,29.086,29.4624,0.7527,1.1291,12.4193,12.7957,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
25,ideally,paragraph,0,0,2,3,28.3333,40,16.6667,40,29.4624,29.8387,1.1291,1.5054,12.7957,13.172,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
26,done,paragraph,0,0,2,4,28.3333,40,16.6667,40,29.8387,30.2151,1.5054,1.8818,13.172,13.5484,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
27,from,paragraph,0,0,2,5,28.3333,40,16.6667,40,30.2151,30.5914,1.8818,2.2581,13.5484,13.9247,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
28,a,paragraph,0,0,2,6,28.3333,40,16.6667,40,30.5914,30.9678,2.2581,2.6345,13.9247,14.3011,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
29,deeper,paragraph,0,0,2,7,28.3333,40,16.6667,40,30.9678,31.3441,2.6345,3.0108,14.3011,14.6774,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
30,political,paragraph,0,0,2,8,28.3333,40,16.6667,40,31.3441,31.7204,3.0108,3.3871,14.6774,15.0537,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
31,commitment,paragraph,0,0,2,9,28.3333,40,16.6667,40,31.7204,32.0968,3.3871,3.7635,15.0537,15.4301,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
32,to,paragraph,0,0,2,10,28.3333,40,16.6667,40,32.0968,32.4731,3.7635,4.1398,15.4301,15.8064,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
33,disability,paragraph,0,0,2,11,28.3333,40,16.6667,40,32.4731,32.8495,4.1398,4.5162,15.8064,16.1828,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
34,justice,paragraph,0,0,2,12,28.3333,40,16.6667,40,32.8495,33.2258,4.5162,4.8925,16.1828,16.5591,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
35,or,paragraph,0,0,2,13,28.3333,40,16.6667,40,33.2258,33.6022,4.8925,5.2689,16.5591,16.9355,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
36,at,paragraph,0,0,2,14,28.3333,40,16.6667,40,33.6022,33.9785,5.2689,5.6452,16.9355,17.3118,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
37,least,paragraph,0,0,2,15,28.3333,40,16.6667,40,33.9785,34.3548,5.6452,6.0215,17.3118,17.6881,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
38,a,paragraph,0,0,2,16,28.3333,40,16.6667,40,34.3548,34.7312,6.0215,6.3979,17.6881,18.0645,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
39,critique,paragraph,0,0,2,17,28.3333,40,16.6667,40,34.7312,35.1075,6.3979,6.7742,18.0645,18.4408,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
40,of,paragraph,0,0,2,18,28.3333,40,16.6667,40,35.1075,35.4839,6.7742,7.1506,18.4408,18.8172,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
41,ableism,paragraph,0,0,2,19,28.3333,40,16.6667,40,35.4839,35.8602,7.1506,7.5269,18.8172,19.1935,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
42,and,paragraph,0,0,2,20,28.3333,40,16.6667,40,35.8602,36.2366,7.5269,7.9033,19.1935,19.5699,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
43,an,paragraph,0,0,2,21,28.3333,40,16.6667,40,36.2366,36.6129,7.9033,8.2796,19.5699,19.9462,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
44,understanding,paragraph,0,0,2,22,28.3333,40,16.6667,40,36.6129,36.9893,8.2796,8.656,19.9462,20.3226,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
45,of,paragraph,0,0,2,23,28.3333,40,16.6667,40,36.9893,37.3656,8.656,9.0323,20.3226,20.6989,segments/sentences/sent_2.mp4,segments/paragraphs/para_0.mp4,estimated-needs-review,"This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.","These recommendations are to be used in addition to/in conjunction with the Access Suggestions for Public Events. This work is ideally done from a deeper political commitment to disability justice, or at least a critique of ableism and an understanding of disabled people’s autonomy and right to consent.",Relative clip timestamp = main video word timestamp - segment start timestamp. Estimates are evenly divided and must be replaced with reviewed sign-level annotation timestamps.
